15990538,12045,185,2239
15990588,12043,188,2268
15990638,12050,207,2498
15990688,12048,193,2334
15990738,12052,195,2358
15990788,12051,178,2146
15990838,12052,216,2604
15990888,12048,219,2642
15990938,12040,208,2514
15990988,12049,241,2914
15991038,12047,200,2411
15991088,12044,218,2630
15991138,12054,187,2254
15991188,12045,194,2343
15991238,12034,201,2423
15991288,12053,193,2327
15991338,12049,217,2618
15991388,12045,206,2490
15991438,12062,200,2415
15991488,12050,217,2625
15991538,12048,207,2502
15991588,12054,224,2701
15991638,12048,198,2387
15991688,12055,209,2521
15991738,12045,216,2605
15991788,12061,190,2298
15991838,12044,211,2550
15991888,12036,211,2545
15991938,12037,198,2386
15991988,12056,186,2251
15992038,12048,193,2333
15992088,12044,177,2137
15992138,12051,178,2148
15992188,12044,205,2474
15992238,12043,175,2113
15992288,12046,187,2257
